Age,Gender,Race
???-14,Male,White
15-19,Male,White
20-24,Male,White
25-29,Male,White
30-34,Male,White
35-39,Male,White
40-44,Male,White
45-54,Male,White
55-64,Male,White
65+,Male,White
???-14,Female,White
15-19,Female,White
20-24,Female,White
25-29,Female,White
30-34,Female,White
35-39,Female,White
40-44,Female,White
45-54,Female,White
55-64,Female,White
65+,Female,White
???-14,Male,Black
15-19,Male,Black
20-24,Male,Black
25-29,Male,Black
30-34,Male,Black
35-39,Male,Black
40-44,Male,Black
45-54,Male,Black
55-64,Male,Black
65+,Male,Black
???-14,Female,Black
15-19,Female,Black
20-24,Female,Black
25-29,Female,Black
30-34,Female,Black
35-39,Female,Black
40-44,Female,Black
45-54,Female,Black
55-64,Female,Black
65+,Female,Black
???-14,Male,Hispanic
15-19,Male,Hispanic
20-24,Male,Hispanic
25-29,Male,Hispanic
30-34,Male,Hispanic
35-39,Male,Hispanic
45-54,Male,Hispanic
45-54,Male,Hispanic
55-64,Male,Hispanic
65+,Male,Hispanic
???-14,Female,Hispanic
15-19,Female,Hispanic
20-24,Female,Hispanic
25-29,Female,Hispanic
30-34,Female,Hispanic
35-39,Female,Hispanic
40-44,Female,Hispanic
45-54,Female,Hispanic
55-64,Female,Hispanic
65+,Male,Hispanic
???-14,Male,Asian/Pacific_Island
15-19,Male,Asian/Pacific_Island
20-24,Male,Asian/Pacific_Island
25-29,Male,Asian/Pacific_Island
30-34,Male,Asian/Pacific_Island
35-39,Male,Asian/Pacific_Island
40-44,Male,Asian/Pacific_Island
45-54,Male,Asian/Pacific_Island
55-64,Male,Asian/Pacific_Island
65+,Male,Asian/Pacific_Island
???-14,Female,Asian/Pacific_Island
15-19,Female,Asian/Pacific_Island
20-24,Female,Asian/Pacific_Island
25-29,Female,Asian/Pacific_Island
30-34,Female,Asian/Pacific_Island
35-39,Female,Asian/Pacific_Island
40-44,Female,Asian/Pacific_Island
45-54,Female,Asian/Pacific_Island
55-64,Female,Asian/Pacific_Island
65+,Female,Asian/Pacific_Island
???-14,Male,American_Indian
15-19,Male,American_Indian
20-24,Male,American_Indian
25-29,Male,American_Indian
30-34,Male,American_Indian
35-39,Male,American_Indian
40-44,Male,American_Indian
45-54,Male,American_Indian
55-64,Male,American_Indian
65+,Male,American_Indian
???-14,Female,American_Indian
15-19,Female,American_Indian
20-24,Female,American_Indian
25-29,Female,American_Indian
30-34,Female,American_Indian
35-39,Female,American_Indian
40-44,Female,American_Indian
45-54,Female,American_Indian
55-64,Female,American_Indian
65+,Female,American_Indian
